,title,size,price,nbrhood
108,1BR Apartment in Fox Chapel - 500 Jeffrey Ln Apt C - $775,1br-,775, 500 Jeffrey Ln Apt C
109,"$1,795~2BR/2BA~526 Penn Ave!~Live Downtown next to Market Square!",2br-1048ft-,1795, Downtown
110,Ask About Our Move In SPECIAL!! Newly Renovated & Close To The T!!,2br-860ft-,1295, Bethel Park
111,cozy 2 bedroom 1 1/2 bath house in McKees Rocks,2br-,750, McKees Rocks
112,"HUGE 2 story apartment, completely updated, super cool",3br-2050ft-,1295, regent square/wilkinsburg
113,5BR House in South Oakland - 3263 Parkview Ave  - $2200,5br-1272ft-,2200, 3263 Parkview Ave
114,"Mobile Home  2 bedroom , 2 Bath  16X80 ,  Country  , not in a park",2br-,795," Connellsville , Dawson , Scottdale Pa. area"
115,"Lawrenceville - Pet Friendly, Parking Pad, and Perfect Location!",3br-,1699, 4022 Mintwood Street
116,Newly Renovated Apartment waiting for YOU to make it HOME!,1br-660ft-,1170,
117,Come relax by the pool in your new home!,2br-860ft-,1295,
118,Welcome to the Evalee Apartments!!!,2br-860ft-,1195,
119,Welcome to the Evalee Apartments!!!,2br-860ft-,1195,
